obs_wl_air(nm),unc_obs_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""306.36952""","=""0.00009""","=""32630.838""","=""2000""","=""""",,"=""134818.6405""","=""167449.4698""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""0""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",,"=""""","=""L4498""",
"=""306.5668""","=""0.0020""","=""32609.84""","=""50""","=""""",,"=""134459.2871""","=""167069.0791""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L3469""",
"=""306.7214""","=""0.0020""","=""32593.40""","=""250*""","=""""",,"=""134459.2871""","=""167052.6415""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",,"=""""","=""L3469""",
"=""306.7214""","=""0.0020""","=""32593.40""","=""250*""","=""""",,"=""134459.2871""","=""167052.6654""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",,"=""""","=""L3469""",
"=""307.69761""","=""0.00009""","=""32490.002""","=""2000""","=""""",,"=""135888.7173""","=""168378.7113""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",,"=""""","=""L5951""",
"=""307.88806""","=""0.00009""","=""32469.905""","=""1000""","=""""",,"=""135888.7173""","=""168358.6202""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",,"=""""","=""L4498""",
"=""307.91808""","=""0.00009""","=""32466.740""","=""1000""","=""""",,"=""135888.7173""","=""168355.4583""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""",,"=""""","=""L4498""",
"=""310.1407""","=""0.0020""","=""32234.08""","=""70""","=""""",,"=""134818.6405""","=""167052.6415""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""0""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",,"=""""","=""L3469""",
"=""312.61965""","=""0.00009""","=""31978.482""","=""2000""","=""9.6e+05""",C,"=""135888.7173""","=""167867.1941""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",,"=""T6976""","=""L5951""",
"=""314.77135""","=""0.00010""","=""31759.894""","=""250""","=""""",,"=""135888.7173""","=""167648.6382""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",,"=""""","=""L4498""",
